Scan Date,Scan Time,Target Type,Target Name,Number,Rule,Severity,Result
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.1,Ensure that anonymous requests to the API Server are authorized,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.2,Disable basic-auth-file for the API Server,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.3,Disable Token-based Authentication,high,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.4,Ensure that the --kubelet-https argument is set to true,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.4,Ensure the openshift-oauth-apiserver service uses TLS,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.4,Ensure the openshift-oauth-apiserver service uses TLS,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.5,Configure the kubelet Certificate File for the API Server,high,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.5,Configure the kubelet Certificate File for the API Server,high,notapplicable
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.5,Configure the kubelet Certificate Key for the API Server,high,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.5,Configure the kubelet Certificate Key for the API Server,high,notapplicable
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.6,Configure the kubelet Certificate Authority for the API Server,high,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.7,The authorization-mode cannot be AlwaysAllow,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.8,Ensure authorization-mode RBAC is configured,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.9,Enable the APIPriorityAndFairness feature gate,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.10,Disable the AlwaysAdmit Admission Control Plugin,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.11,Ensure that the Admission Control Plugin AlwaysPullImages is not set,high,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.12,Enable the ServiceAccount Admission Control Plugin,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.13,Enable the NamespaceLifecycle Admission Control Plugin,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.14,Enable the SecurityContextConstraint Admission Control Plugin,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.15,Enable the NodeRestriction Admission Control Plugin,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.16,Disable Use of the Insecure Bind Address,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.17,Prevent Insecure Port Access,medium,notapplicable
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.18,Ensure that the bindAddress is set to a relevant secure port,low,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.19,Profiling is protected by RBAC,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.20,Configure the Audit Log Path,high,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.20,Configure the Audit Log Path,high,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.21,Ensure that Audit Log Forwarding Is Enabled,medium,fail
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.21,Ensure that Audit Log Webhook Is Configured,medium,notapplicable
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.22,Configure the Kubernetes API Server Maximum Retained Audit Logs,low,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.22,Configure the OpenShift API Server Maximum Retained Audit Logs,low,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.23,Configure Kubernetes API Server Maximum Audit Log Size,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.23,Configure OpenShift API Server Maximum Audit Log Size,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.24,Configure the API Server Minimum Request Timeout,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.25,Ensure that the service-account-lookup argument is set to true,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.26,Configure the Service Account Public Key for the API Server,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.27,Configure the etcd Certificate for the API Server,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.27,Configure the etcd Certificate Key for the API Server,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.28,Configure the Certificate for the API Server,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.28,Configure the Certificate Key for the API Server,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.29,Configure the Client Certificate Authority for the API Server,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.30,Configure the etcd Certificate Authority for the API Server,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.31,Configure the Encryption Provider Cipher,medium,fail
2024-02-25,10:40:38 +0000,cluster,cluster2,1.2.32,Use Strong Cryptographic Ciphers on the API Server,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.3.1,Profiling is protected by RBAC,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.3.2,Ensure that use-service-account-credentials is enabled,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.3.3,Configure the Service Account Private Key for the Controller Manager,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.3.4,Configure the Service Account Certificate Authority Key for the Controller Manager,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.3.5,Ensure Controller insecure port argument is unset,low,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.3.5,Ensure Controller secure-port argument is set,low,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.4.1,Verify that the scheduler API service is protected by RBAC,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,1.4.2,Verify that the scheduler API service is protected by RBAC,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,2.1,Ensure That The etcd Client Certificate Is Correctly Set,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,2.1,Ensure That The etcd Key File Is Correctly Set,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,2.2,Enable The Client Certificate Authentication,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,2.3,Disable etcd Self-Signed Certificates,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,2.4,Ensure That The etcd Peer Client Certificate Is Correctly Set,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,2.4,Ensure That The etcd Peer Key File Is Correctly Set,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,2.5,Enable The Peer Client Certificate Authentication,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,2.6,Disable etcd Peer Self-Signed Certificates,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,2.8,Configure the Encryption Provider Cipher,medium,fail
2024-02-25,10:40:38 +0000,cluster,cluster2,3.1.1,Configure An Identity Provider,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,3.1.1,Ensure that the kubeadmin secret has been removed,medium,pass
