Scan Date,Scan Time,Target Type,Target Name,Number,Rule,Severity,Result
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.1,Verify Permissions on the Kubernetes API Server Pod Specification File,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.2,Verify Group Who Owns The Kubernetes API Server Pod Specification File,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.2,Verify User Who Owns The Kubernetes API Server Pod Specification File,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.3,Verify Permissions on the Kubernetes Controller Manager Pod Specification File,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.4,Verify Group Who Owns The Kubernetes Controller Manager Pod Specification File,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.4,Verify User Who Owns The Kubernetes Controller Manager Pod Specification File,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.5,Verify Permissions on the Kubernetes Scheduler Pod Specification File,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.6,Verify Group Who Owns The Kubernetes Scheduler Pod Specification File,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.6,Verify User Who Owns The Kubernetes Scheduler Pod Specification File,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.7,Verify Permissions on the Etcd Member Pod Specification File,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.8,Verify Group Who Owns The etcd Member Pod Specification File,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.8,Verify User Who Owns The Etcd Member Pod Specification File,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.9,Verify Group Who Owns The OpenShift SDN CNI Server Config,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.9,Verify Group Who Owns The Open vSwitch Configuration Database,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.9,Verify Group Who Owns The Open vSwitch Configuration Database Lock,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.9,Verify Group Who Owns The Open vSwitch Process ID File,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.9,Verify Group Who Owns The Open vSwitch Persistent System ID,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.9,Verify Group Who Owns The Open vSwitch Daemon PID File,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.9,Verify Group Who Owns The Open vSwitch Database Server PID,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.9,Verify User Who Owns The OpenShift SDN CNI Server Config,medium,notapplicable
